   100.55000000000000        415.60221887932909        410.87817194809503        23.177614611308869     	   100.55000000000000        4.0838799518885462        0.0000000000000000        302.44124409129307     
   108.91600000000000        415.42144633491074        410.33944559529192        23.023293652639033     	   108.91600000000000        4.3660609630566523        0.0000000000000000        302.48307442011770     
   117.83900000000000        415.22421512656945        409.76950848223350        22.854941552231836     	   117.83900000000000        4.6620913922861345        0.0000000000000000        302.53335725230409     
   127.35600000000001        415.01164814995809        409.16695925429991        22.670777781089097     	   127.35600000000001        4.9710311182300666        0.0000000000000000        302.59321934685022     
   137.48900000000000        414.78380052658696        408.53149779069844        22.474438000598141     	   137.48900000000000        5.2901547121379551        0.0000000000000000        302.66347226123662     
   148.25999999999999        414.54529327368112        407.86282579669182        22.262940286630883     	   148.25999999999999        5.6182641559736091        0.0000000000000000        302.74593960275325     
   159.69999999999999        414.28686163994740        407.16012437651511        22.033205779874901     	   159.69999999999999        5.9533484607799689        0.0000000000000000        302.84158266061775     
   171.83199999999999        414.00644467953254        406.42313085438650        21.789298520406302     	   171.83199999999999        6.2937032236917325        0.0000000000000000        302.95264487906752     
   184.67800000000000        413.70927047550543        405.65167562680551        21.530588486194620     	   184.67800000000000        6.6380933891058360        0.0000000000000000        303.08169284564502     
   198.26300000000001        413.39870001511355        404.84548471425558        21.250627027898691     	   198.26300000000001        6.9851422168695434        0.0000000000000000        303.23164260313035     
   212.60800000000000        413.05848719997198        404.00458870637169        20.950915191793921     	   212.60800000000000        7.3334406690895246        0.0000000000000000        303.40684093499738     
   227.74099999999999        412.69742323543278        403.12867942799920        20.629772934992456     	   227.74099999999999        7.6827796178900725        0.0000000000000000        303.61380833928456     
   243.68099999999998        412.32235688994899        402.21811530139342        20.287659239484551     	   243.68099999999998        8.0324895887964463        0.0000000000000000        303.86145578211614     
   260.45099999999996        411.91761610680447        401.27280183263491        19.924656752942138     	   260.45099999999996        8.3866818264235565        0.0000000000000000        304.16895195189380     
   278.07299999999998        411.49443843020157        400.29280791319434        19.536222995511899     	   278.07299999999998        8.7504119053965663        0.0000000000000000        304.57540192153169     
   296.53899999999999        411.04118789471818        399.28000499074238        19.123545734695703     	   296.53899999999999        9.1356025440579511        0.0000000000000000        305.17674974585009     
   315.88000000000000        410.55414792853145        398.22114861808581        18.684801266385733     	   315.88000000000000        10.089821073945659        0.0000000000000000        306.17787468457539     
   336.12900000000002        410.01085406114976        397.10482705853497        18.217992131408867     	   336.12900000000002        11.855219067914371        0.0000000000000000        307.34900135665890     
   357.24800000000005        409.39573308320968        395.91862342633021        17.724233020246697     	   357.24800000000005        14.632136879840063        0.0000000000000000        308.72533569885991     
   379.29800000000000        408.69461082761239        394.64217878190493        17.207859292191706     	   379.29800000000000        18.728383088395194        0.0000000000000000        310.34521798527089     
   402.25900000000001        407.88712660894208        393.25621290276820        16.658244606337760     	   402.25900000000001        24.408517047320377        0.0000000000000000        312.27253842411000     
   426.12900000000002        406.92751335508535        391.73031225442014        16.078505346485212     	   426.12900000000002        31.660236727359766        0.0000000000000000        314.54418711130620     
   450.90899999999999        405.77410706092746        390.01711672588760        15.469300099335934     	   450.90899999999999        40.210916289364178        0.0000000000000000        317.18514283965487     
   476.60000000000002        404.38391413618797        388.07419992879454        14.831442930983229     	   476.60000000000002        49.735753925712530        0.0000000000000000        320.23710180055474     
   503.20300000000003        402.72805607810960        385.87954007982745        14.159013828807435     	   503.20300000000003        59.924724283787768        0.0000000000000000        323.69199451348163     
   530.69399999999996        400.80514020516148        383.43305834367447        13.455234562465364     	   530.69399999999996        70.829532409415236        0.0000000000000000        327.60037207609128     
   559.05399999999997        398.64284446489393        380.76295169833452        12.723521852261603     	   559.05399999999997        82.366095158374776        0.0000000000000000        331.96424723347832     
   588.30600000000004        396.26652675505738        377.89667357858798        11.960044027693476     	   588.30600000000004        94.490196262674104        0.0000000000000000        336.76912449799062     
   618.36699999999996        393.67790333592563        374.84322680777007        11.164825849203663     	   618.36699999999996        107.58970415811358        0.0000000000000000        342.06799208207315     
   649.25800000000004        390.84019291083047        371.56343394068489        10.339634417155764     	   649.25800000000004        122.72238561822135        0.0000000000000000        348.10141523251360     
   680.93600000000004        387.72801057847903        368.03794138425917        9.4846922120752453     	   680.93600000000004        139.61817277696144        0.0000000000000000        354.85163432623841     
   713.36500000000001        384.34562912524979        364.27143170059543        8.5997101945906191     	   713.36500000000001        157.71436915633814        0.0000000000000000        362.26136223816115     
   746.50000000000000        380.72264752472006        360.29443102996237        7.6878109435314599     	   746.50000000000000        176.43730831425586        0.0000000000000000        370.26443782878454     
   780.32399999999996        376.89290468998257        356.14605035182632        6.7476866681161436     	   780.32399999999996        195.42331578623623        0.0000000000000000        378.78976196701961     
   814.75300000000004        372.90606794093395        351.87430445014360        5.7822130289256064     	   814.75300000000004        214.50699540894885        0.0000000000000000        387.72831212732382     
   849.77100000000007        368.78786193954613        347.51081135300075        4.7884109511406345     	   849.77100000000007        233.72770548113866        0.0000000000000000        396.95637242199240     
   885.29300000000001        364.57093205863907        343.08567724151834        3.7711865782460956     	   885.29300000000001        253.14885898066868        0.0000000000000000        406.21909324301362     
   921.29899999999998        360.19687274113636        338.54542656970540        2.7282915293306074     	   921.29899999999998        275.73805174904663        0.0000000000000000        415.87473701042143     
   957.69200000000001        355.70337549930895        333.93080058303957        1.6605690273788112     	   957.69200000000001        301.18607377765125        0.0000000000000000        425.26218704292205     
   1013.0000000000000        348.39609018708131        326.54375348136409        1.6372066871294687E-004	   1013.0000000000000        345.06191093160027        0.0000000000000000        438.83436117182464     
